"Species","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory"
"Acanalonia servillei",14.5,"Herbivore","Univoltine","Above Ground"
"Alcaeorrhynchus grandis",20,"Carnivore","Not Univoltine","Above Ground"
"Anomala innuba",7.5,"Herbivore","Not Univoltine","Below Ground"
"Blattella asahinai",14.5,"Herbivore","Not Univoltine","Above Ground"
"Callistethus marginatus",13.5,"Herbivore","Not Univoltine","Below Ground"
"Calosoma scrutator",30,"Carnivore","Univoltine","Above Ground"
"Camponotus castaneus",8.5,"Omnivore","Not Univoltine","Host Organisms"
"Camponotus floridanus",8.5,"Omnivore","Not Univoltine","Host Organisms"
"Chauliodes rastricornis",35,"Omnivore","Not Univoltine","Freshwater"
"Climaciella brunnea",26.5,"Carnivore","Not Univoltine","Host Organisms"
"Corydalus cornutus",54,"Omnivore","Univoltine","Freshwater"
"Cybister fimbriolatus",29.5,"Carnivore","Univoltine","Freshwater"
"Dichotomius carolinus",25,"Detrivore","Univoltine","Above Ground"
"Dicromantispa interrupta",22.5,"Omnivore","Not Univoltine","Host Organisms"
"Draeculacephala inscripta",7,"Herbivore","Not Univoltine","Above Ground"
"Erythroneura calyculata",3,"Herbivore","Not Univoltine","Above Ground"
"Euphoria sepulcralis",11.5,"Herbivore","Univoltine","Below Ground"
"Graminella cognita",NA,"Herbivore","Not Univoltine","Above Ground"
"Harmonia axyridis",6.5,"Carnivore","Not Univoltine","Above Ground"
"Hydaticus bimarginatus",12.5,"Carnivore","Univoltine","Freshwater"
"Hydrophilus ovatus",32.5,"Carnivore","Not Univoltine","Freshwater"
"Lethocerus uhleri",48.5,"Carnivore","Not Univoltine","Freshwater"
"Lytta polita",17.5,"Carnivore","Univoltine","Host Organisms"
"Mallodon dasystomus",35,"Herbivore","Univoltine","Host Organisms"
"Megalodacne fasciata",12.5,"Herbivore","Not Univoltine","Host Organisms"
"Melanolestes picipes",11,"Carnivore","Not Univoltine","Below Ground"
"Necrophila americana",16.5,"Detrivore","Not Univoltine","Host Organisms"
"Neoconocephalus triops",32,"Herbivore","Not Univoltine","Above Ground"
"Neoscapteriscus borellii",30,"Omnivore","Not Univoltine","Below Ground"
"Odontotaenius disjunctus",34,"Detrivore","Not Univoltine","Host Organisms"
"Pelidnota punctata",22,"Detrivore","Univoltine","Host Organisms"
"Periplaneta americana",38,"Omnivore","Not Univoltine","Above Ground"
"Phileurus truncatus",35,"Detrivore","Univoltine","Host Organisms"
"Phileurus valgus",23,"Detrivore","Not Univoltine","Host Organisms"
"Plecia nearctica",7.5,"Herbivore","Not Univoltine","Below Ground"
"Prionus imbricornis",37.5,"Herbivore","Univoltine","Host Organisms"
"Prionus pocularis",34.5,"Herbivore","Univoltine","Host Organisms"
"Prosapia bicincta",9,"Herbivore","Not Univoltine","Above Ground"
"Rhiginia cruciata",14,"Carnivore","Not Univoltine","Above Ground"
"Stilpnochlora couloniana",65,"Herbivore","Not Univoltine","Above Ground"
"Tabanus atratus",26.5,"Carnivore","Not Univoltine","Freshwater"
"Tylozygus bifidus",NA,"Herbivore","Not Univoltine","Above Ground"
"Tylozygus geometricus",4,"Herbivore","Univoltine","Above Ground"
