"Site","Date","Tube","scientificName","Count"
"Auca",2020-01-11,1,"None",0
"Joma",2019-03-24,1,"Chauliodes rastricornis",1
"Baca",2019-03-29,1,"Anomala innuba",2
"Demi",2019-04-14,1,"Chauliodes rastricornis",1
"Rist",2019-03-10,1,"Chauliodes rastricornis",5
"Rist",2019-03-10,1,"Anomala innuba",4
"Demi",2019-08-10,1,"Dichotomius carolinus",1
"Demi",2019-08-10,1,"Megalodacne fasciata",1
"Demi",2019-08-10,1,"Hydaticus bimarginatus",6
"Bowa",2020-01-25,1,"Chauliodes rastricornis",1
"Rist",2020-02-15,1,"None",0
"Cofr",2020-02-09,1,"None",0
"Prcr",2020-02-04,1,"None",0
"Joma",2020-02-09,1,"None",0
"Biva",2020-02-15,1,"None",0
"Demi",2020-01-11,1,"Chauliodes rastricornis",1
"Demi",2020-02-04,1,"None",1
"Joma",2020-01-18,1,"None",1
"Cofr",2020-02-28,1,"None",1
"Auca",2019-09-28,1,"Hydrophlus ovatus",1
"Auca",2019-09-29,1,"Anomala innuba",1
"Rist",2019-09-28,2,"Chauliodes rastricornis",1
"Rist",2020-02-28,1,"None",1
"Auca",2019-11-16,1,"Camponotus floridanus",1
"Biva",2019-10-05,1,"Chauliodes rastricornis",3
"Biva",2019-10-05,1,"Callistethus marginatus",1
"Auca",2019-10-01,1,"None",0
"Baca",2020-02-28,1,"None",0
"Bowa",2020-02-28,1,"None",0
"Demi",2020-02-28,1,"None",0
"Prcr",2019-11-16,1,"None",0
"Demi",2019-11-16,1,"None",0
"Bowa",2020-01-18,1,"None",0
"Auca",2019-10-05,1,"Callistethus marginatus",1
"Demi",2019-08-24,1,"Megalodacne fasciata",1
"Demi",2019-08-24,1,"Anomala innuba",1
"Bowa",2019-09-12,1,"Plecia nearctica",8
"Auca",2019-10-26,1,"Stilpnochlora couliana",1
"Auca",2019-10-26,1,"Prosapia bicincta",11
"Prcr",2019-10-12,1,"Hydaticus bimarginatus",2
"Rist",2019-11-02,1,"Megalodacne fasciata",1
"Bowa",2019-09-28,1,"Prosapia bicincta",1
"Biva",2019-09-07,1,"Prosapia bicincta",4
"Biva",2019-09-07,1,"Megalodacne fasciata",1
"Biva",2019-09-07,1,"Plecia nearctica",4
"Biva",2019-09-07,1,"Callistethus marginatus",1
"Joma",2019-09-07,1,"Chauliodes rastricornis",1
"Joma",2019-09-07,1,"Tylozygus bifidus",1
"Baca",2019-03-13,1,"Tylozygus bifidus",1
"Baca",2019-03-13,1,"Blattella asahinai",1
"Rist",2019-09-07,2,"Hydaticus bimarginatus",1
"Rist",2019-09-07,2,"Graminella cognita",1
"Baca",2019-09-07,1,"None",0
"Baca",2019-08-24,1,"Blattella asahinai",1
"Biva",2019-11-23,1,"None",0
"Biva",2019-12-01,1,"None",0
"Joma",2019-12-01,1,"None",0
"Auca",2019-12-08,1,"None",0
"Cofr",2020-01-01,1,"None",0
"Prcr",2020-01-01,1,"None",0
"Baca",2019-12-12,1,"None",0
"Rist",2020-01-01,1,"None",0
"Demi",2019-12-12,1,"None",0
"Baca",2020-01-01,1,"None",0
"Biva",2020-01-01,1,"None",0
"Joma",2020-01-01,1,"None",0
"Baca",2019-12-12,1,"None",0
"Rist",2019-10-12,1,"Chauliodes rastricornis",1
"Prcr",2019-12-12,1,"None",0
"Prcr",2020-01-25,1,"None",0
"Rist",2019-12-12,1,"None",0
"Bowa",2019-11-23,1,"None",0
