"","Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","max_lat_dif","min_lat_dif","med_lat_dif","temp_niche","precip_niche"
"1","Auca","Acanalonia servillei",0,0.057,0.015,14.5,"Herbivore","Univoltine","Above Ground",0,6.20156,-2.34538,1.3495,2.80678470007634,264.183524026493
"2","Auca","Alcaeorrhynchus grandis",0,0.057,0.015,20,"Carnivore","Not Univoltine","Above Ground",0,3.23802,-23.3995,-0.0340000000000025,2.7782680030953,453.636734202687
"3","Auca","Anomala innuba",32,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,9.44282,-3.06142,3.2674,4.16178885458884,337.070391903439
"4","Auca","Blattella asahinai",1,0.057,0.015,14.5,"Herbivore","Not Univoltine","Above Ground",0,2.6963,-8.83475,0.400400000000001,3.35753476865113,440.045563829036
"5","Auca","Callistethus marginatus",226,0.057,0.015,13.5,"Herbivore","Not Univoltine","Below Ground",0,7.34624000000001,-3.52616,1.3,3.75201818112293,342.337907793932
"6","Auca","Calosoma scrutator",0,0.057,0.015,30,"Carnivore","Univoltine","Above Ground",0,10.0707,0.00329999999999941,4.11079999999999,3.41396642324634,332.58431414496
"7","Auca","Camponotus castaneus",0,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,9.8408,1.0152,6.8397,2.70314198222109,273.751110115399
"8","Auca","Camponotus floridanus",5,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,0.732980000000001,-3.9084,-1.571,1.52888679655237,284.280602022702
"9","Auca","Chauliodes rastricornis",20,0.057,0.015,35,"Omnivore","Not Univoltine","Freshwater",0,15.3888,0.50817,11.50765,5.56048912330953,291.847088130276
"10","Auca","Climaciella brunnea",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Host Organisms",0,15.8374,-0.915580000000002,12.9686,5.79016226542306,349.628933973009
"11","Auca","Corydalus cornutus",10,0.057,0.015,54,"Omnivore","Univoltine","Freshwater",0,13.57158,3.43488,9.12105,3.58902295859509,292.210610905175
"12","Auca","Cybister fimbriolatus",16,0.057,0.015,29.5,"Carnivore","Univoltine","Freshwater",0,10.94483,-2.01133,2.3079,4.37409158141484,302.489078143259
"13","Auca","Dichotomius carolinus",4,0.057,0.015,25,"Detrivore","Univoltine","Above Ground",0,9.3372,-10.2733,5.39725,3.65663269719457,396.21725352025
"14","Auca","Draeculacephala inscripta",7,0.057,0.015,7,"Herbivore","Not Univoltine","Above Ground",0,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,295.796632813146
"15","Auca","Euphoria sepulcralis",0,0.057,0.015,11.5,"Herbivore","Univoltine","Below Ground",0,9.31407,-3.68085,1.28645,4.11737973649321,340.537828593612
"16","Auca","Harmonia axyridis",2,0.057,0.015,6.5,"Carnivore","Not Univoltine","Above Ground",0,23.651,4.03536,20.8802,3.38686926770789,277.924991005868
"17","Auca","Hydaticus bimarginatus",61,0.057,0.015,12.5,"Carnivore","Univoltine","Freshwater",0,5.57985,-2.53645,0.366,2.72966155181667,299.02500857854
"18","Auca","Lethocerus uhleri",3,0.057,0.015,48.5,"Carnivore","Not Univoltine","Freshwater",0,6.22652,-1.7319,0.8414,2.7671874650017,345.273108924664
"19","Auca","Lytta polita",0,0.057,0.015,17.5,"Carnivore","Univoltine","Host Organisms",0,5.9363,-0.704600000000003,1.14695,2.48075707591434,290.870115976691
"20","Auca","Megalodacne fasciata",0,0.057,0.015,12.5,"Herbivore","Not Univoltine","Host Organisms",0,11.83046,0.611499999999999,7.5829,3.83326820048752,256.445013318785
"21","Auca","Melanolestes picipes",2,0.057,0.015,11,"Carnivore","Not Univoltine","Below Ground",0,9.55308,0.487159999999999,5.7128,3.39666351239846,327.487621986782
"22","Auca","Necrophila americana",2,0.057,0.015,16.5,"Detrivore","Not Univoltine","Host Organisms",0,15.9427,6.2585,11.523,3.80821859782521,266.957175399518
"23","Auca","Neoconocephalus triops",0,0.057,0.015,32,"Herbivore","Not Univoltine","Above Ground",0,5.6516,-7.64649,0.15635,3.19138737794444,424.368878538884
"24","Auca","Neoscapteriscus borellii",4,0.057,0.015,30,"Omnivore","Not Univoltine","Below Ground",0,4.62694,-1.57872,0.946449999999999,2.20337551694139,320.93795211699
"25","Auca","Pelidnota punctata",0,0.057,0.015,22,"Detrivore","Univoltine","Host Organisms",0,14.11112,1.96209,10.41015,4.09059633533247,272.62521861406
"26","Auca","Periplaneta americana",0,0.057,0.015,38,"Omnivore","Not Univoltine","Above Ground",0,9.72851,-36.99468,1.03355,4.56932518402754,508.419954889028
"27","Auca","Phileurus truncatus",0,0.057,0.015,35,"Detrivore","Univoltine","Host Organisms",0,6.31028,-10.40278,3.7026,2.61350928156564,546.728028855899
"28","Auca","Phileurus valgus",1,0.057,0.015,23,"Detrivore","Not Univoltine","Host Organisms",0,6.5085,-15.0894,0.609099999999998,3.7920613129831,497.619218842183
"29","Auca","Plecia nearctica",10,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,2.34642,-1.81964,0.0626999999999995,1.59074136044725,313.352335538093
"30","Auca","Prionus imbricornis",0,0.057,0.015,37.5,"Herbivore","Univoltine","Host Organisms",0,8.64517999999999,0.86712,5.53875,2.4664116272022,310.152438098297
"31","Auca","Prionus pocularis",2,0.057,0.015,34.5,"Herbivore","Univoltine","Host Organisms",0,11.89206,-0.938039999999997,3.6192,4.31687260982908,327.983950494135
"32","Auca","Prosapia bicincta",150,0.057,0.015,9,"Herbivore","Not Univoltine","Above Ground",0,9.46683999999999,0.085799999999999,4.5966,3.31050438189458,318.81913099813
"33","Auca","Rhiginia cruciata",0,0.057,0.015,14,"Carnivore","Not Univoltine","Above Ground",0,10.43586,0.30462,7.5535,3.48862301927955,302.168218034342
"34","Auca","Tabanus atratus",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Freshwater",0,13.74687,-0.132200000000001,6.63105,5.11785260863528,294.030786887696
"35","Auca","Tylozygus geometricus",0,0.057,0.015,4,"Herbivore","Univoltine","Above Ground",0,9.63652,-20.11294,2.6939,4.64005454765443,854.354090378816
"36","Baca","Acanalonia servillei",5,0.58,0.948,14.5,"Herbivore","Univoltine","Above Ground",13.2569791666667,6.20156,-2.34538,1.3495,2.80678470007634,264.183524026493
"37","Baca","Alcaeorrhynchus grandis",0,0.58,0.948,20,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,3.23802,-23.3995,-0.0340000000000025,2.7782680030953,453.636734202687
"38","Baca","Anomala innuba",14,0.58,0.948,7.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,9.44282,-3.06142,3.2674,4.16178885458884,337.070391903439
"39","Baca","Blattella asahinai",4,0.58,0.948,14.5,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,2.6963,-8.83475,0.400400000000001,3.35753476865113,440.045563829036
"40","Baca","Callistethus marginatus",27,0.58,0.948,13.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,7.34624000000001,-3.52616,1.3,3.75201818112293,342.337907793932
"41","Baca","Calosoma scrutator",0,0.58,0.948,30,"Carnivore","Univoltine","Above Ground",13.2569791666667,10.0707,0.00329999999999941,4.11079999999999,3.41396642324634,332.58431414496
"42","Baca","Camponotus castaneus",0,0.58,0.948,8.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,9.8408,1.0152,6.8397,2.70314198222109,273.751110115399
"43","Baca","Camponotus floridanus",3,0.58,0.948,8.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,0.732980000000001,-3.9084,-1.571,1.52888679655237,284.280602022702
"44","Baca","Chauliodes rastricornis",0,0.58,0.948,35,"Omnivore","Not Univoltine","Freshwater",13.2569791666667,15.3888,0.50817,11.50765,5.56048912330953,291.847088130276
"45","Baca","Climaciella brunnea",0,0.58,0.948,26.5,"Carnivore","Not Univoltine","Host Organisms",13.2569791666667,15.8374,-0.915580000000002,12.9686,5.79016226542306,349.628933973009
"46","Baca","Corydalus cornutus",0,0.58,0.948,54,"Omnivore","Univoltine","Freshwater",13.2569791666667,13.57158,3.43488,9.12105,3.58902295859509,292.210610905175
"47","Baca","Cybister fimbriolatus",0,0.58,0.948,29.5,"Carnivore","Univoltine","Freshwater",13.2569791666667,10.94483,-2.01133,2.3079,4.37409158141484,302.489078143259
"48","Baca","Dichotomius carolinus",0,0.58,0.948,25,"Detrivore","Univoltine","Above Ground",13.2569791666667,9.3372,-10.2733,5.39725,3.65663269719457,396.21725352025
"49","Baca","Draeculacephala inscripta",0,0.58,0.948,7,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,295.796632813146
"50","Baca","Euphoria sepulcralis",0,0.58,0.948,11.5,"Herbivore","Univoltine","Below Ground",13.2569791666667,9.31407,-3.68085,1.28645,4.11737973649321,340.537828593612
"51","Baca","Harmonia axyridis",1,0.58,0.948,6.5,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,23.651,4.03536,20.8802,3.38686926770789,277.924991005868
"52","Baca","Hydaticus bimarginatus",57,0.58,0.948,12.5,"Carnivore","Univoltine","Freshwater",13.2569791666667,5.57985,-2.53645,0.366,2.72966155181667,299.02500857854
"53","Baca","Lethocerus uhleri",1,0.58,0.948,48.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,6.22652,-1.7319,0.8414,2.7671874650017,345.273108924664
"54","Baca","Lytta polita",0,0.58,0.948,17.5,"Carnivore","Univoltine","Host Organisms",13.2569791666667,5.9363,-0.704600000000003,1.14695,2.48075707591434,290.870115976691
"55","Baca","Megalodacne fasciata",0,0.58,0.948,12.5,"Herbivore","Not Univoltine","Host Organisms",13.2569791666667,11.83046,0.611499999999999,7.5829,3.83326820048752,256.445013318785
"56","Baca","Melanolestes picipes",0,0.58,0.948,11,"Carnivore","Not Univoltine","Below Ground",13.2569791666667,9.55308,0.487159999999999,5.7128,3.39666351239846,327.487621986782
"57","Baca","Necrophila americana",0,0.58,0.948,16.5,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,15.9427,6.2585,11.523,3.80821859782521,266.957175399518
"58","Baca","Neoconocephalus triops",0,0.58,0.948,32,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,5.6516,-7.64649,0.15635,3.19138737794444,424.368878538884
"59","Baca","Neoscapteriscus borellii",0,0.58,0.948,30,"Omnivore","Not Univoltine","Below Ground",13.2569791666667,4.62694,-1.57872,0.946449999999999,2.20337551694139,320.93795211699
"60","Baca","Pelidnota punctata",2,0.58,0.948,22,"Detrivore","Univoltine","Host Organisms",13.2569791666667,14.11112,1.96209,10.41015,4.09059633533247,272.62521861406
"61","Baca","Periplaneta americana",0,0.58,0.948,38,"Omnivore","Not Univoltine","Above Ground",13.2569791666667,9.72851,-36.99468,1.03355,4.56932518402754,508.419954889028
"62","Baca","Phileurus truncatus",0,0.58,0.948,35,"Detrivore","Univoltine","Host Organisms",13.2569791666667,6.31028,-10.40278,3.7026,2.61350928156564,546.728028855899
"63","Baca","Phileurus valgus",0,0.58,0.948,23,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,6.5085,-15.0894,0.609099999999998,3.7920613129831,497.619218842183
"64","Baca","Plecia nearctica",0,0.58,0.948,7.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,2.34642,-1.81964,0.0626999999999995,1.59074136044725,313.352335538093
"65","Baca","Prionus imbricornis",0,0.58,0.948,37.5,"Herbivore","Univoltine","Host Organisms",13.2569791666667,8.64517999999999,0.86712,5.53875,2.4664116272022,310.152438098297
"66","Baca","Prionus pocularis",1,0.58,0.948,34.5,"Herbivore","Univoltine","Host Organisms",13.2569791666667,11.89206,-0.938039999999997,3.6192,4.31687260982908,327.983950494135
"67","Baca","Prosapia bicincta",1,0.58,0.948,9,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,9.46683999999999,0.085799999999999,4.5966,3.31050438189458,318.81913099813
"68","Baca","Rhiginia cruciata",0,0.58,0.948,14,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,10.43586,0.30462,7.5535,3.48862301927955,302.168218034342
"69","Baca","Tabanus atratus",0,0.58,0.948,26.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,13.74687,-0.132200000000001,6.63105,5.11785260863528,294.030786887696
"70","Baca","Tylozygus geometricus",0,0.58,0.948,4,"Herbivore","Univoltine","Above Ground",13.2569791666667,9.63652,-20.11294,2.6939,4.64005454765443,854.354090378816
"71","Biva","Acanalonia servillei",0,0.381,0.235,14.5,"Herbivore","Univoltine","Above Ground",2.25,6.20156,-2.34538,1.3495,2.80678470007634,264.183524026493
"72","Biva","Alcaeorrhynchus grandis",0,0.381,0.235,20,"Carnivore","Not Univoltine","Above Ground",2.25,3.23802,-23.3995,-0.0340000000000025,2.7782680030953,453.636734202687
"73","Biva","Anomala innuba",1,0.381,0.235,7.5,"Herbivore","Not Univoltine","Below Ground",2.25,9.44282,-3.06142,3.2674,4.16178885458884,337.070391903439
"74","Biva","Blattella asahinai",0,0.381,0.235,14.5,"Herbivore","Not Univoltine","Above Ground",2.25,2.6963,-8.83475,0.400400000000001,3.35753476865113,440.045563829036
"75","Biva","Callistethus marginatus",12,0.381,0.235,13.5,"Herbivore","Not Univoltine","Below Ground",2.25,7.34624000000001,-3.52616,1.3,3.75201818112293,342.337907793932
"76","Biva","Calosoma scrutator",0,0.381,0.235,30,"Carnivore","Univoltine","Above Ground",2.25,10.0707,0.00329999999999941,4.11079999999999,3.41396642324634,332.58431414496
