"","Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","max_lat_dif","min_lat_dif","med_lat_dif","temp_niche","precip_niche","mean_temp","mean_rh","mean_hsi"
"1","Auca","Acanalonia servillei",0,0.057,0.015,14.5,"Herbivore","Univoltine","Above Ground",0,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,1.01755102,-1.108163265,1.332244898
"2","Auca","Alcaeorrhynchus grandis",0,0.057,0.015,20,"Carnivore","Not Univoltine","Above Ground",0,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,1.01755102,-1.108163265,1.332244898
"3","Auca","Anomala innuba",32,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,1.01755102,-1.108163265,1.332244898
"4","Auca","Blattella asahinai",1,0.057,0.015,14.5,"Herbivore","Not Univoltine","Above Ground",0,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,1.01755102,-1.108163265,1.332244898
"5","Auca","Callistethus marginatus",226,0.057,0.015,13.5,"Herbivore","Not Univoltine","Below Ground",0,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,1.01755102,-1.108163265,1.332244898
"6","Auca","Calosoma scrutator",0,0.057,0.015,30,"Carnivore","Univoltine","Above Ground",0,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,1.01755102,-1.108163265,1.332244898
"7","Auca","Camponotus castaneus",0,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,1.01755102,-1.108163265,1.332244898
"8","Auca","Camponotus floridanus",5,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,1.01755102,-1.108163265,1.332244898
"9","Auca","Chauliodes rastricornis",20,0.057,0.015,35,"Omnivore","Not Univoltine","Freshwater",0,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,1.01755102,-1.108163265,1.332244898
"10","Auca","Climaciella brunnea",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Host Organisms",0,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,1.01755102,-1.108163265,1.332244898
"11","Auca","Corydalus cornutus",10,0.057,0.015,54,"Omnivore","Univoltine","Freshwater",0,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,1.01755102,-1.108163265,1.332244898
